timestamp,page,user_id,duree_sec,device,status_code,referrer
2024-06-01 00:04:15,/contact,user_10,2.3,Tablet,404,Direct
2024-06-01 00:14:53,/panier,user_88,78.2,Mobile,500,Google
2024-06-01 00:41:40,/blog/article,user_56,111.4,Desktop,200,Direct
2024-06-01 00:44:51,/,user_129,94.9,Desktop,200,Google
2024-06-01 01:25:13,/,user_91,43.0,Mobile,200,LinkedIn
2024-06-01 01:45:23,/blog/article,user_101,15.4,Desktop,200,Email
2024-06-01 01:50:50,/blog,user_278,22.9,Desktop,200,Autre
2024-06-01 02:13:35,/compte,user_284,116.5,Mobile,200,LinkedIn
2024-06-01 02:19:14,/compte,user_133,34.0,Tablet,200,Direct
2024-06-01 02:27:40,/,user_33,21.9,Mobile,404,Email
2024-06-01 02:28:57,/,user_3,9.9,Desktop,200,Twitter
2024-06-01 02:32:32,/aide,user_58,97.2,Mobile,404,Autre
2024-06-01 03:11:21,/produits,user_248,156.7,Mobile,200,Direct
2024-06-01 03:14:58,/aide,user_254,63.0,Tablet,200,Direct
2024-06-01 03:16:58,/api/search,user_108,79.7,Mobile,200,Email
2024-06-01 03:21:44,/api/search,user_30,70.9,Desktop,200,Autre
2024-06-01 03:31:35,/compte,user_128,55.4,Mobile,301,Autre
2024-06-01 03:37:11,/produits,user_95,54.2,Mobile,500,LinkedIn
2024-06-01 03:45:24,/checkout,user_141,5.6,Mobile,500,Twitter
2024-06-01 03:52:39,/panier,user_34,71.2,Mobile,200,Direct
2024-06-01 04:02:05,/blog,user_71,41.1,Mobile,200,LinkedIn
2024-06-01 06:09:33,/api/search,user_268,38.7,Mobile,200,Email
2024-06-01 06:29:21,/compte,user_175,33.2,Desktop,404,Twitter
2024-06-01 06:44:40,/,user_215,120.8,Tablet,200,Email
2024-06-01 07:19:36,/blog,user_132,23.5,Desktop,200,Autre
2024-06-01 07:24:21,/blog,user_111,98.3,Mobile,200,Google
2024-06-01 07:24:58,/produits/detail,user_188,188.4,Mobile,200,Facebook
2024-06-01 07:35:35,/compte,user_261,8.0,Desktop,200,Autre
2024-06-01 07:38:36,/produits/detail,user_126,1.9,Desktop,301,LinkedIn
2024-06-01 07:53:37,/contact,user_28,20.0,Mobile,200,Autre
2024-06-01 08:06:18,/compte,user_133,75.4,Desktop,500,Email
2024-06-01 09:20:14,/contact,user_280,0.5,Mobile,200,Twitter
2024-06-01 09:27:16,/produits,user_267,13.7,Desktop,200,Direct
2024-06-01 10:11:07,/contact,user_168,7.3,Tablet,200,Email
2024-06-01 10:37:32,/produits/detail,user_184,88.8,Mobile,200,Facebook
2024-06-01 10:44:53,/api/search,user_185,72.5,Mobile,301,Facebook
2024-06-01 10:48:17,/produits/detail,user_266,53.4,Desktop,200,Google
2024-06-01 11:50:16,/,user_155,25.5,Desktop,200,Email
2024-06-01 11:54:21,/checkout,user_55,41.3,Mobile,200,Autre
2024-06-01 12:09:43,/panier,user_192,94.4,Desktop,200,Facebook
2024-06-01 12:28:24,/blog,user_219,29.3,Desktop,301,Autre
2024-06-01 12:33:35,/,user_150,10.5,Mobile,404,Autre
2024-06-01 12:42:56,/checkout,user_134,15.8,Desktop,200,LinkedIn
2024-06-01 13:03:46,/checkout,user_1,21.6,Desktop,200,Google
2024-06-01 13:26:17,/blog/article,user_89,1.2,Desktop,200,Email
